stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.191586927,0.002716689,I5,ED-US,I5_s08-6,80,275,13718
0.343972835,1.07E-09,I5,ED-US,I5_s08-6,160,275,13718
0.139442098,0.074775183,I5,ED-US,I5_s08-6,320,275,13718
0.096758146,0.413637644,I5,ED-US,I5_s08-6,640,275,13718
0.318095238,0.502962346,I5,ED-US,I5_s08-8,20,275,13718
0.285792079,0.654860161,I5,ED-US,I5_s08-8,40,275,13718
0.335922034,0.419908718,I5,ED-US,I5_s08-8,80,275,13718
0.277742163,0.69097815,I5,ED-US,I5_s08-8,160,275,13718
0.357839948,0.324590677,I5,ED-US,I5_s08-8,320,275,13718
0.421776776,0.159118297,I5,ED-US,I5_s08-8,640,275,13718
0.151200075,0.038978115,I5,ED-US,I5_s10-4,20,282,13718
0.409368342,2.40E-13,I5,ED-US,I5_s10-4,40,282,13718
0.505580837,0,I5,ED-US,I5_s10-4,80,282,13718
0.173888757,0.009420221,I5,ED-US,I5_s10-4,160,282,13718
0.150261204,0.041150625,I5,ED-US,I5_s10-4,320,282,13718
0,1,I5,ED-US,I5_s10-4,640,282,13718
0.343326316,3.61E-08,I5,ED-US,I5_s11-4,20,285,13718
0.332626228,1.07E-07,I5,ED-US,I5_s11-4,40,285,13718
0.501000457,1.11E-16,I5,ED-US,I5_s11-4,80,285,13718
0.275251816,2.14E-05,I5,ED-US,I5_s11-4,160,285,13718
0.12936284,0.221540702,I5,ED-US,I5_s11-4,320,285,13718
0.104027568,0.448714926,I5,ED-US,I5_s11-4,640,285,13718
0.349139935,0.361240211,I5,ED-US,I5_s13-1,20,296,13718
0.226718048,0.878273202,I5,ED-US,I5_s13-1,40,296,13718
0.428167421,0.107320553,I5,ED-US,I5_s13-1,80,296,13718
0.433609959,0.096682703,I5,ED-US,I5_s13-1,160,296,13718
0.256406274,0.779441741,I5,ED-US,I5_s13-1,320,296,13718
0.406219631,0.193677241,I5,ED-US,I5_s13-1,640,296,13718
0.094407335,0.48196818,I5,ED-US,I5_s14-4a,20,301,13718
0.082017932,0.657403994,I5,ED-US,I5_s14-4a,40,301,13718
0.159909668,0.023155707,I5,ED-US,I5_s14-4a,80,301,13718
0.088498413,0.565488693,I5,ED-US,I5_s14-4a,160,301,13718
0.039942383,0.991420479,I5,ED-US,I5_s14-4a,320,301,13718
0.073881145,0.672112164,I5,ED-US,I5_s14-4a,640,301,13718
0.099619143,0.411341783,I5,ED-US,I5_s14-4b,20,301,13718
0.091166108,0.52751489,I5,ED-US,I5_s14-4b,40,301,13718
0.234144629,0.002215734,I5,ED-US,I5_s14-4b,80,301,13718
0.160956629,0.021705075,I5,ED-US,I5_s14-4b,160,301,13718
0.057452397,0.925763806,I5,ED-US,I5_s14-4b,320,301,13718
0.060084982,0.818848469,I5,ED-US,I5_s14-4b,640,301,13718
0.225581395,0.881407232,I5,ED-US,I5_s15-2,20,304,13718
0.193514753,0.949681051,I5,ED-US,I5_s15-2,40,304,13718
0.104877432,0.999335319,I5,ED-US,I5_s15-2,80,304,13718
0.276008923,0.69858923,I5,ED-US,I5_s15-2,160,304,13718
0.256370222,0.779580324,I5,ED-US,I5_s15-2,320,304,13718
0.262832003,0.6722084,I5,ED-US,I5_s15-2,640,304,13718
0.194705428,0.453856966,I5,ED-US,I5_s15-5,20,304,13718
0.094164615,0.980821059,I5,ED-US,I5_s15-5,40,304,13718
